Data Accuracy,1,Default Data Flag - Supermarket/Grocery Store,n/a,n/a,String,42,defaultDataFlagSupermarketGroceryStore,Get-Metrics,Default Data Flag,Glossary Definition
Data Accuracy,1,Default Data Flag - Wastewater Treatment Plant,n/a,n/a,String,43,defaultDataFlagWastewaterTreatmentPlant,Get-Metrics,Default Data Flag,Glossary Definition
Data Accuracy,1,Default Data Flag - Wholesale Club/Supercenter,n/a,n/a,String,44,defaultDataFlagWholesaleClubSupercenter,Get-Metrics,Default Data Flag,Glossary Definition
Data Accuracy,1,Default Data Flag - Worship Facility,n/a,n/a,String,45,defaultDataFlagWorshipFacility,Get-Metrics,Default Data Flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Adult Education,n/a,n/a,String,46,temporaryDataFlagAdultEducation,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Ambulatory Surgical Center,n/a,n/a,String,47,temporaryDataFlagAmbulatorySurgicalCenter,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Aquarium,n/a,n/a,String,48,temporaryDataFlagAquarium,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Automobile Dealership,n/a,n/a,String,49,temporaryDataFlagAutomobileDealership,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Bank Branch,n/a,n/a,String,50,temporaryDataFlagBankBranch,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Bar/Nightclub,n/a,n/a,String,51,temporaryDataFlagBarNightclub,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Barracks,n/a,n/a,String,52,temporaryDataFlagBarracks,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Bowling Alley,n/a,n/a,String,53,temporaryDataFlagBowlingAlley,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Casino,n/a,n/a,String,54,temporaryDataFlagCasino,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - College/University,n/a,n/a,String,55,temporaryDataFlagCollegeUniversity,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Convenience Store with Gas Station,n/a,n/a,String,56,temporaryDataFlagConvenienceStoreWithGasStation,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Convenience Store without Gas Station,n/a,n/a,String,57,temporaryDataFlagConvenienceStoreWithoutGasStation,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Convention Center,n/a,n/a,String,58,temporaryDataFlagConventionCenter,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Courthouse,n/a,n/a,String,59,temporaryDataFlagCourthouse,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Data Center,n/a,n/a,String,60,temporaryDataFlagDataCenter,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Distribution Center,n/a,n/a,String,61,temporaryDataFlagDistributionCenter,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Drinking Water Treatment & Distribution,n/a,n/a,String,62,temporaryDataFlagDrinkingWaterTreatmentDistribution,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Enclosed Mall,n/a,n/a,String,63,temporaryDataFlagEnclosedMall,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Energy/Power Station,n/a,n/a,String,64,temporaryDataFlagEnergyPowerStation,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Fast Food Restaurant,n/a,n/a,String,65,temporaryDataFlagFastFoodRestaurant,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Financial Office,n/a,n/a,String,66,temporaryDataFlagFinancialOffice,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Fire Station,n/a,n/a,String,67,temporaryDataFlagFireStation,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Fitness Center/Health Club/Gym,n/a,n/a,String,68,temporaryDataFlagFitnessCenterHealthClubGym,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Food Sales,n/a,n/a,String,69,temporaryDataFlagFoodSales,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Food Service,n/a,n/a,String,70,temporaryDataFlagFoodService,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Hospital (General Medical & Surgical),n/a,n/a,String,71,temporaryDataFlagHospitalGeneralMedicalSurgical,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Hotel,n/a,n/a,String,72,temporaryDataFlagHotel,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Ice/Curling Rink,n/a,n/a,String,73,temporaryDataFlagIceCurlingRink,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Indoor Arena,n/a,n/a,String,74,temporaryDataFlagIndoorArena,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - K-12 School,n/a,n/a,String,75,temporaryDataFlagK12School,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Laboratory,n/a,n/a,String,76,temporaryDataFlagLaboratory,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Library,n/a,n/a,String,77,temporaryDataFlagLibrary,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Lifestyle Center,n/a,n/a,String,78,temporaryDataFlagLifestyleCenter,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Mailing Center/Post Office,n/a,n/a,String,79,temporaryDataFlagMailingCenterPostOffice,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Manufacturing/Industrial Plant,n/a,n/a,String,80,temporaryDataFlagManufacturingIndustrialPlant,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Medical Office,n/a,n/a,String,81,temporaryDataFlagMedicalOffice,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Movie Theater,n/a,n/a,String,83,temporaryDataFlagMovieTheater,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Multifamily Housing,n/a,n/a,String,84,temporaryDataFlagMultifamilyHousing,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Museum,n/a,n/a,String,85,temporaryDataFlagMuseum,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Non-Refrigerated Warehouse,n/a,n/a,String,86,temporaryDataFlagNonrefrigeratedWarehouse,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Office,n/a,n/a,String,87,temporaryDataFlagOffice,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other,n/a,n/a,String,88,temporaryDataFlagOther,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other - Education,n/a,n/a,String,89,temporaryDataFlagOtherEducation,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other - Entertainment/Public Assembly,n/a,n/a,String,90,temporaryDataFlagOtherEntertainmentPublicAssembly,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other - Lodging/Residential,n/a,n/a,String,91,temporaryDataFlagOtherLodgingResidential,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other - Mall,n/a,n/a,String,92,temporaryDataFlagOtherMall,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other - Public Services,n/a,n/a,String,93,temporaryDataFlagOtherPublicServices,Get-Metrics,Temporary Data flag,Glossary Definition
Data Accuracy,1,Temporary Data Flag - Other - Recreation,n/a,n/a,String,94,temporaryDataFlagOtherRecreation,Get-Metrics,Temporary Data flag,Glossary Definition
